Flight Number,Date,Delay (Minutes),Reason for Delay
PK265,2022-12-27 11:40:32.432432432,0,Weather
PK756,2022-12-28 05:11:21.081081080,52,Weather
PK941,2022-12-28 22:42:09.729729728,0,Mechanical Issue
PK469,2022-12-29 16:12:58.378378380,46,Weather
PK894,2022-12-30 09:43:47.027027028,0,Weather
PK153,2022-12-31 03:14:35.675675676,0,Mechanical Issue
PK789,2022-12-31 20:45:24.324324324,50,Mechanical Issue
PK518,2023-01-01 14:16:12.972972972,32,Crew
PK855,2023-01-02 07:47:01.621621620,5,Crew
PK606,2023-01-03 01:17:50.270270272,32,Weather
PK440,2023-01-03 18:48:38.918918920,0,None
PK226,2023-01-04 12:19:27.567567568,24,Weather
PK508,2023-01-05 05:50:16.216216216,24,Mechanical Issue
PK466,2023-01-05 23:21:04.864864864,7,Mechanical Issue
PK370,2023-01-06 16:51:53.513513512,0,None
PK743,2023-01-07 10:22:42.162162164,22,Weather
PK704,2023-01-08 03:53:30.810810812,18,Mechanical Issue
PK478,2023-01-08 21:24:19.459459460,4,Crew
PK172,2023-01-09 14:55:08.108108108,0,Weather
PK347,2023-01-10 08:25:56.756756756,20,Crew
PK959,2023-01-11 01:56:45.405405404,4,None
PK884,2023-01-11 19:27:34.054054052,0,None
PK142,2023-01-12 12:58:22.702702704,22,Weather
PK476,2023-01-13 06:29:11.351351352,76,Weather
PK140,2023-01-14 00:00:00.000000000,7,Weather
PK269,2023-01-14 17:30:48.648648648,72,Mechanical Issue
PK311,2023-01-15 11:01:37.297297296,94,Weather
PK592,2023-01-16 04:32:25.945945944,0,Weather
PK779,2023-01-16 22:03:14.594594596,20,None
PK138,2023-01-17 15:34:03.243243244,94,None
PK468,2023-01-18 09:04:51.891891892,16,Weather
PK856,2023-01-19 02:35:40.540540540,21,Weather
PK250,2023-01-19 20:06:29.189189188,0,Mechanical Issue
PK210,2023-01-20 13:37:17.837837836,1,Weather
PK579,2023-01-21 07:08:06.486486488,39,Crew
PK535,2023-01-22 00:38:55.135135136,105,Crew
PK146,2023-01-22 18:09:43.783783784,13,None
PK674,2023-01-23 11:40:32.432432432,0,Traffic Control
PK836,2023-01-24 05:11:21.081081080,0,Mechanical Issue
PK465,2023-01-24 22:42:09.729729728,19,Crew
PK168,2023-01-25 16:12:58.378378380,61,Weather
PK398,2023-01-26 09:43:47.027027028,42,Mechanical Issue
PK901,2023-01-27 03:14:35.675675676,36,Mechanical Issue
PK395,2023-01-27 20:45:24.324324324,66,Weather
PK302,2023-01-28 14:16:12.972972972,0,Weather
PK160,2023-01-29 07:47:01.621621620,21,Weather
PK929,2023-01-30 01:17:50.270270272,2,None
PK413,2023-01-30 18:48:38.918918920,10,Weather
PK260,2023-01-31 12:19:27.567567568,0,Weather
PK430,2023-02-01 05:50:16.216216216,8,Mechanical Issue
PK627,2023-02-01 23:21:04.864864864,19,Crew
PK437,2023-02-02 16:51:53.513513512,7,Weather
PK705,2023-02-03 10:22:42.162162164,14,None
PK403,2023-02-04 03:53:30.810810812,34,None
PK602,2023-02-04 21:24:19.459459460,63,Mechanical Issue
PK749,2023-02-05 14:55:08.108108108,66,Crew
PK437,2023-02-06 08:25:56.756756756,47,Weather
PK649,2023-02-07 01:56:45.405405404,0,Weather
PK738,2023-02-07 19:27:34.054054052,7,Traffic Control
PK374,2023-02-08 12:58:22.702702704,10,Weather
PK263,2023-02-09 06:29:11.351351352,0,Weather
PK542,2023-02-10 00:00:00.000000000,32,Mechanical Issue
PK418,2023-02-10 17:30:48.648648648,0,Weather
PK688,2023-02-11 11:01:37.297297296,79,None
PK603,2023-02-12 04:32:25.945945944,62,Weather
PK785,2023-02-12 22:03:14.594594596,37,Traffic Control
PK486,2023-02-13 15:34:03.243243244,18,Mechanical Issue
PK969,2023-02-14 09:04:51.891891892,63,Traffic Control
PK932,2023-02-15 02:35:40.540540540,44,Weather
PK987,2023-02-15 20:06:29.189189188,59,Mechanical Issue
PK702,2023-02-16 13:37:17.837837836,18,None
PK849,2023-02-17 07:08:06.486486488,83,Mechanical Issue
PK875,2023-02-18 00:38:55.135135136,61,Mechanical Issue
PK790,2023-02-18 18:09:43.783783784,38,Mechanical Issue
PK593,2023-02-19 11:40:32.432432432,64,Traffic Control
PK589,2023-02-20 05:11:21.081081080,5,Mechanical Issue
PK820,2023-02-20 22:42:09.729729728,0,None
PK172,2023-02-21 16:12:58.378378380,31,Weather
PK608,2023-02-22 09:43:47.027027024,18,Mechanical Issue
PK489,2023-02-23 03:14:35.675675672,13,Traffic Control
PK718,2023-02-23 20:45:24.324324328,63,Crew
PK956,2023-02-24 14:16:12.972972976,26,None
PK394,2023-02-25 07:47:01.621621624,29,None
PK468,2023-02-26 01:17:50.270270272,9,Mechanical Issue
PK895,2023-02-26 18:48:38.918918920,51,Weather
PK964,2023-02-27 12:19:27.567567568,45,Weather
PK793,2023-02-28 05:50:16.216216216,51,Traffic Control
PK648,2023-02-28 23:21:04.864864864,3,None
PK748,2023-03-01 16:51:53.513513512,66,Weather
PK949,2023-03-02 10:22:42.162162160,84,Weather
PK667,2023-03-03 03:53:30.810810808,49,Weather
PK286,2023-03-03 21:24:19.459459456,0,None
PK952,2023-03-04 14:55:08.108108104,0,Weather
PK869,2023-03-05 08:25:56.756756760,7,Mechanical Issue
PK544,2023-03-06 01:56:45.405405408,0,Mechanical Issue
PK669,2023-03-06 19:27:34.054054056,18,None
PK462,2023-03-07 12:58:22.702702704,42,Crew
PK222,2023-03-08 06:29:11.351351352,30,Crew
PK287,2023-03-09 00:00:00.000000000,27,Weather
PK841,2023-03-09 17:30:48.648648648,12,Mechanical Issue
PK779,2023-03-10 11:01:37.297297296,17,Traffic Control
PK519,2023-03-11 04:32:25.945945944,48,None
PK725,2023-03-11 22:03:14.594594592,0,Weather
PK351,2023-03-12 15:34:03.243243240,20,Weather
PK718,2023-03-13 09:04:51.891891888,30,Weather
PK648,2023-03-14 02:35:40.540540544,47,Mechanical Issue
PK434,2023-03-14 20:06:29.189189192,0,None
PK191,2023-03-15 13:37:17.837837840,0,Weather
PK629,2023-03-16 07:08:06.486486488,40,Mechanical Issue
PK965,2023-03-17 00:38:55.135135136,0,Weather
PK162,2023-03-17 18:09:43.783783784,67,Weather
PK761,2023-03-18 11:40:32.432432432,28,Mechanical Issue
PK611,2023-03-19 05:11:21.081081080,75,Weather
PK238,2023-03-19 22:42:09.729729728,0,Mechanical Issue
PK797,2023-03-20 16:12:58.378378376,5,Traffic Control
PK284,2023-03-21 09:43:47.027027024,0,Mechanical Issue
PK304,2023-03-22 03:14:35.675675672,0,Weather
PK871,2023-03-22 20:45:24.324324328,14,None
PK313,2023-03-23 14:16:12.972972976,0,Crew
PK355,2023-03-24 07:47:01.621621624,6,Traffic Control
PK234,2023-03-25 01:17:50.270270272,0,Weather
PK672,2023-03-25 18:48:38.918918920,11,Weather
PK974,2023-03-26 12:19:27.567567568,60,Weather
PK921,2023-03-27 05:50:16.216216216,19,Weather
PK187,2023-03-27 23:21:04.864864864,78,Mechanical Issue
PK935,2023-03-28 16:51:53.513513512,48,None
PK306,2023-03-29 10:22:42.162162160,67,Mechanical Issue
PK228,2023-03-30 03:53:30.810810808,0,Weather
PK922,2023-03-30 21:24:19.459459456,0,Mechanical Issue
PK102,2023-03-31 14:55:08.108108104,32,Weather
PK853,2023-04-01 08:25:56.756756760,0,Crew
PK220,2023-04-02 01:56:45.405405408,36,Mechanical Issue
PK484,2023-04-02 19:27:34.054054056,9,Traffic Control
PK713,2023-04-03 12:58:22.702702704,67,None
PK137,2023-04-04 06:29:11.351351352,44,Weather
PK440,2023-04-05 00:00:00.000000000,58,Mechanical Issue
PK744,2023-04-05 17:30:48.648648648,0,None
PK813,2023-04-06 11:01:37.297297296,57,Traffic Control
PK959,2023-04-07 04:32:25.945945944,71,Mechanical Issue
PK120,2023-04-07 22:03:14.594594592,19,None
PK341,2023-04-08 15:34:03.243243240,0,Weather
PK554,2023-04-09 09:04:51.891891888,0,None
PK720,2023-04-10 02:35:40.540540544,63,Weather
PK402,2023-04-10 20:06:29.189189192,114,Mechanical Issue
PK695,2023-04-11 13:37:17.837837840,0,None
PK694,2023-04-12 07:08:06.486486488,0,Weather
PK902,2023-04-13 00:38:55.135135136,52,Mechanical Issue
PK168,2023-04-13 18:09:43.783783784,0,Weather
PK228,2023-04-14 11:40:32.432432432,56,None
PK295,2023-04-15 05:11:21.081081080,36,None
PK239,2023-04-15 22:42:09.729729728,19,Traffic Control
PK543,2023-04-16 16:12:58.378378376,35,Mechanical Issue
PK382,2023-04-17 09:43:47.027027024,33,None
PK411,2023-04-18 03:14:35.675675672,14,Mechanical Issue
PK845,2023-04-18 20:45:24.324324328,0,Mechanical Issue
PK634,2023-04-19 14:16:12.972972976,26,Traffic Control
PK764,2023-04-20 07:47:01.621621624,75,Mechanical Issue
PK376,2023-04-21 01:17:50.270270272,0,Weather
PK160,2023-04-21 18:48:38.918918920,0,Weather
PK418,2023-04-22 12:19:27.567567568,35,Weather
PK989,2023-04-23 05:50:16.216216216,21,None
PK151,2023-04-23 23:21:04.864864864,34,Mechanical Issue
PK955,2023-04-24 16:51:53.513513512,0,Traffic Control
PK252,2023-04-25 10:22:42.162162160,61,Mechanical Issue
PK848,2023-04-26 03:53:30.810810808,22,Weather
PK410,2023-04-26 21:24:19.459459456,44,Weather
PK913,2023-04-27 14:55:08.108108104,31,Traffic Control
PK643,2023-04-28 08:25:56.756756760,26,Crew
PK666,2023-04-29 01:56:45.405405408,42,None
PK963,2023-04-29 19:27:34.054054056,27,Crew
PK488,2023-04-30 12:58:22.702702704,0,Mechanical Issue
PK647,2023-05-01 06:29:11.351351352,58,Crew
PK721,2023-05-02 00:00:00.000000000,49,None
PK276,2023-05-02 17:30:48.648648648,0,Traffic Control
PK461,2023-05-03 11:01:37.297297296,0,Weather
PK413,2023-05-04 04:32:25.945945944,56,Mechanical Issue
PK906,2023-05-04 22:03:14.594594592,0,Crew
PK947,2023-05-05 15:34:03.243243240,53,Traffic Control
PK196,2023-05-06 09:04:51.891891888,15,Weather
PK980,2023-05-07 02:35:40.540540544,67,None
PK312,2023-05-07 20:06:29.189189192,20,None
PK928,2023-05-08 13:37:17.837837840,0,Weather
PK236,2023-05-09 07:08:06.486486488,31,None
PK105,2023-05-10 00:38:55.135135136,19,Weather
PK208,2023-05-10 18:09:43.783783784,0,Weather
PK646,2023-05-11 11:40:32.432432432,98,Weather
PK138,2023-05-12 05:11:21.081081080,0,Weather
PK761,2023-05-12 22:42:09.729729728,0,None
PK524,2023-05-13 16:12:58.378378376,75,Weather
PK729,2023-05-14 09:43:47.027027024,0,Weather
PK360,2023-05-15 03:14:35.675675672,10,Weather
PK525,2023-05-15 20:45:24.324324328,7,Weather
PK186,2023-05-16 14:16:12.972972976,0,Weather
PK564,2023-05-17 07:47:01.621621624,0,Crew
PK175,2023-05-18 01:17:50.270270272,0,Weather
PK570,2023-05-18 18:48:38.918918920,22,None
PK513,2023-05-19 12:19:27.567567568,6,None
PK924,2023-05-20 05:50:16.216216216,46,Weather
PK994,2023-05-20 23:21:04.864864864,37,None
PK825,2023-05-21 16:51:53.513513512,0,Weather
PK556,2023-05-22 10:22:42.162162160,24,Weather
PK384,2023-05-23 03:53:30.810810808,5,Weather
PK338,2023-05-23 21:24:19.459459456,0,Weather
PK776,2023-05-24 14:55:08.108108104,44,Mechanical Issue
PK698,2023-05-25 08:25:56.756756760,16,Traffic Control
PK752,2023-05-26 01:56:45.405405408,6,Weather
PK771,2023-05-26 19:27:34.054054056,0,Traffic Control
PK657,2023-05-27 12:58:22.702702704,0,Weather
PK471,2023-05-28 06:29:11.351351352,90,Traffic Control
PK594,2023-05-29 00:00:00.000000000,32,Weather
PK723,2023-05-29 17:30:48.648648648,0,Weather
PK144,2023-05-30 11:01:37.297297296,30,Weather
PK500,2023-05-31 04:32:25.945945944,57,Weather
PK346,2023-05-31 22:03:14.594594592,26,Mechanical Issue
PK715,2023-06-01 15:34:03.243243240,68,None
PK696,2023-06-02 09:04:51.891891888,0,Weather
PK549,2023-06-03 02:35:40.540540544,0,Traffic Control
PK584,2023-06-03 20:06:29.189189192,29,Crew
PK745,2023-06-04 13:37:17.837837840,30,None
PK719,2023-06-05 07:08:06.486486488,0,Weather
PK117,2023-06-06 00:38:55.135135136,0,Mechanical Issue
PK705,2023-06-06 18:09:43.783783784,0,None
PK761,2023-06-07 11:40:32.432432432,0,Crew
PK857,2023-06-08 05:11:21.081081080,0,Mechanical Issue
PK388,2023-06-08 22:42:09.729729728,41,Weather
PK513,2023-06-09 16:12:58.378378376,0,Weather
PK820,2023-06-10 09:43:47.027027024,0,Mechanical Issue
PK737,2023-06-11 03:14:35.675675672,0,Traffic Control
PK334,2023-06-11 20:45:24.324324328,64,Weather
PK515,2023-06-12 14:16:12.972972976,35,Mechanical Issue
PK598,2023-06-13 07:47:01.621621624,0,Mechanical Issue
PK733,2023-06-14 01:17:50.270270272,0,Mechanical Issue
PK749,2023-06-14 18:48:38.918918920,38,Crew
PK214,2023-06-15 12:19:27.567567568,65,None
PK773,2023-06-16 05:50:16.216216216,49,Weather
PK812,2023-06-16 23:21:04.864864864,8,None
PK333,2023-06-17 16:51:53.513513512,0,Weather
PK639,2023-06-18 10:22:42.162162160,50,Weather
PK110,2023-06-19 03:53:30.810810808,10,Weather
PK305,2023-06-19 21:24:19.459459456,22,Weather
PK778,2023-06-20 14:55:08.108108104,14,Weather
PK346,2023-06-21 08:25:56.756756760,0,Weather
PK658,2023-06-22 01:56:45.405405408,33,None
PK857,2023-06-22 19:27:34.054054056,28,Weather
PK226,2023-06-23 12:58:22.702702704,5,Traffic Control
PK246,2023-06-24 06:29:11.351351352,36,Weather
PK217,2023-06-25 00:00:00.000000000,0,None
PK481,2023-06-25 17:30:48.648648648,11,Traffic Control
PK511,2023-06-26 11:01:37.297297296,21,Weather
PK763,2023-06-27 04:32:25.945945944,0,Traffic Control
PK683,2023-06-27 22:03:14.594594592,18,Mechanical Issue
PK462,2023-06-28 15:34:03.243243240,46,Traffic Control
PK608,2023-06-29 09:04:51.891891888,9,Mechanical Issue
PK236,2023-06-30 02:35:40.540540544,19,Crew
PK274,2023-06-30 20:06:29.189189192,40,Traffic Control
PK388,2023-07-01 13:37:17.837837840,6,Mechanical Issue
PK580,2023-07-02 07:08:06.486486488,10,Weather
PK118,2023-07-03 00:38:55.135135136,0,None
PK294,2023-07-03 18:09:43.783783784,19,Mechanical Issue
PK429,2023-07-04 11:40:32.432432432,8,Mechanical Issue
PK274,2023-07-05 05:11:21.081081080,37,Weather
PK548,2023-07-05 22:42:09.729729728,40,Mechanical Issue
PK453,2023-07-06 16:12:58.378378376,48,None
PK598,2023-07-07 09:43:47.027027024,2,Weather
PK240,2023-07-08 03:14:35.675675672,0,Mechanical Issue
PK857,2023-07-08 20:45:24.324324328,46,Crew
PK996,2023-07-09 14:16:12.972972976,35,None
PK192,2023-07-10 07:47:01.621621624,0,Mechanical Issue
PK338,2023-07-11 01:17:50.270270272,39,Weather
PK304,2023-07-11 18:48:38.918918920,0,None
PK659,2023-07-12 12:19:27.567567568,56,Crew
PK532,2023-07-13 05:50:16.216216216,8,Weather
PK344,2023-07-13 23:21:04.864864864,0,Weather
PK931,2023-07-14 16:51:53.513513512,0,Mechanical Issue
PK416,2023-07-15 10:22:42.162162160,12,Weather
PK394,2023-07-16 03:53:30.810810808,20,Weather
PK739,2023-07-16 21:24:19.459459456,22,None
PK955,2023-07-17 14:55:08.108108104,5,Weather
PK381,2023-07-18 08:25:56.756756760,27,Traffic Control
PK116,2023-07-19 01:56:45.405405408,20,Weather
PK170,2023-07-19 19:27:34.054054056,0,Traffic Control
PK368,2023-07-20 12:58:22.702702704,0,Traffic Control
PK424,2023-07-21 06:29:11.351351352,41,Weather
PK893,2023-07-22 00:00:00.000000000,38,Mechanical Issue
PK404,2023-07-22 17:30:48.648648648,22,Weather
PK550,2023-07-23 11:01:37.297297296,52,None
PK106,2023-07-24 04:32:25.945945944,0,None
PK413,2023-07-24 22:03:14.594594592,0,Mechanical Issue
PK916,2023-07-25 15:34:03.243243240,0,Mechanical Issue
PK202,2023-07-26 09:04:51.891891888,99,Weather
PK920,2023-07-27 02:35:40.540540544,45,Traffic Control
PK292,2023-07-27 20:06:29.189189192,17,Mechanical Issue
PK852,2023-07-28 13:37:17.837837840,47,Weather
PK673,2023-07-29 07:08:06.486486488,59,Mechanical Issue
PK628,2023-07-30 00:38:55.135135136,59,Weather
PK270,2023-07-30 18:09:43.783783784,52,Traffic Control
PK636,2023-07-31 11:40:32.432432432,11,Weather
PK350,2023-08-01 05:11:21.081081080,2,Crew
PK864,2023-08-01 22:42:09.729729728,0,Weather
PK486,2023-08-02 16:12:58.378378376,38,Weather
PK306,2023-08-03 09:43:47.027027024,14,Crew
PK640,2023-08-04 03:14:35.675675672,5,None
PK728,2023-08-04 20:45:24.324324328,4,Traffic Control
PK515,2023-08-05 14:16:12.972972976,71,Weather
PK893,2023-08-06 07:47:01.621621624,53,Weather
PK479,2023-08-07 01:17:50.270270272,84,None
PK243,2023-08-07 18:48:38.918918920,39,Mechanical Issue
PK124,2023-08-08 12:19:27.567567568,22,Weather
PK921,2023-08-09 05:50:16.216216216,19,None
PK767,2023-08-09 23:21:04.864864864,0,None
PK172,2023-08-10 16:51:53.513513512,0,None
PK731,2023-08-11 10:22:42.162162160,38,None
PK923,2023-08-12 03:53:30.810810808,0,None
PK932,2023-08-12 21:24:19.459459456,27,Weather
PK192,2023-08-13 14:55:08.108108104,59,Weather
PK604,2023-08-14 08:25:56.756756760,0,Mechanical Issue
PK697,2023-08-15 01:56:45.405405408,90,Mechanical Issue
PK435,2023-08-15 19:27:34.054054056,0,Mechanical Issue
PK524,2023-08-16 12:58:22.702702704,55,Mechanical Issue
PK598,2023-08-17 06:29:11.351351352,35,Mechanical Issue
PK463,2023-08-18 00:00:00.000000000,62,Mechanical Issue
PK729,2023-08-18 17:30:48.648648648,0,Weather
PK844,2023-08-19 11:01:37.297297296,101,Weather
PK298,2023-08-20 04:32:25.945945944,14,Mechanical Issue
PK817,2023-08-20 22:03:14.594594592,44,Traffic Control
PK512,2023-08-21 15:34:03.243243240,71,Weather
PK438,2023-08-22 09:04:51.891891888,0,Mechanical Issue
PK758,2023-08-23 02:35:40.540540544,49,Traffic Control
PK528,2023-08-23 20:06:29.189189192,0,Mechanical Issue
PK882,2023-08-24 13:37:17.837837840,69,Weather
PK998,2023-08-25 07:08:06.486486488,0,Mechanical Issue
PK238,2023-08-26 00:38:55.135135136,21,Weather
PK792,2023-08-26 18:09:43.783783784,31,None
PK641,2023-08-27 11:40:32.432432432,47,Weather
PK156,2023-08-28 05:11:21.081081080,89,Crew
PK331,2023-08-28 22:42:09.729729728,4,Weather
PK757,2023-08-29 16:12:58.378378376,60,Mechanical Issue
PK534,2023-08-30 09:43:47.027027024,89,Mechanical Issue
PK483,2023-08-31 03:14:35.675675672,26,Weather
PK659,2023-08-31 20:45:24.324324328,1,Mechanical Issue
PK293,2023-09-01 14:16:12.972972976,0,Weather
PK835,2023-09-02 07:47:01.621621624,86,Weather
PK747,2023-09-03 01:17:50.270270272,11,Crew
PK633,2023-09-03 18:48:38.918918920,0,Weather
PK617,2023-09-04 12:19:27.567567568,0,None
PK815,2023-09-05 05:50:16.216216216,0,Crew
PK850,2023-09-05 23:21:04.864864864,52,Mechanical Issue
PK284,2023-09-06 16:51:53.513513512,57,Weather
PK971,2023-09-07 10:22:42.162162160,43,Mechanical Issue
PK391,2023-09-08 03:53:30.810810808,25,Traffic Control
PK434,2023-09-08 21:24:19.459459456,0,Weather
PK831,2023-09-09 14:55:08.108108104,0,None
PK215,2023-09-10 08:25:56.756756760,0,Weather
PK924,2023-09-11 01:56:45.405405408,40,None
PK148,2023-09-11 19:27:34.054054056,0,Weather
PK784,2023-09-12 12:58:22.702702704,0,None
PK181,2023-09-13 06:29:11.351351352,14,Mechanical Issue
PK933,2023-09-14 00:00:00.000000000,0,Weather
PK432,2023-09-14 17:30:48.648648648,22,Weather
PK656,2023-09-15 11:01:37.297297296,16,Mechanical Issue
PK434,2023-09-16 04:32:25.945945944,61,None
PK631,2023-09-16 22:03:14.594594592,0,Weather
PK320,2023-09-17 15:34:03.243243240,0,Weather
PK734,2023-09-18 09:04:51.891891888,7,Mechanical Issue
PK845,2023-09-19 02:35:40.540540544,0,Mechanical Issue
PK832,2023-09-19 20:06:29.189189192,21,Mechanical Issue
PK422,2023-09-20 13:37:17.837837840,0,Crew
PK950,2023-09-21 07:08:06.486486488,0,Weather
PK102,2023-09-22 00:38:55.135135136,0,None
PK793,2023-09-22 18:09:43.783783784,40,Mechanical Issue
PK305,2023-09-23 11:40:32.432432432,0,Weather
PK931,2023-09-24 05:11:21.081081080,0,Traffic Control
PK139,2023-09-24 22:42:09.729729728,13,Crew
PK158,2023-09-25 16:12:58.378378376,31,Weather
PK673,2023-09-26 09:43:47.027027024,11,Crew
PK743,2023-09-27 03:14:35.675675672,0,Weather
PK606,2023-09-27 20:45:24.324324328,0,Mechanical Issue
PK671,2023-09-28 14:16:12.972972976,24,None
PK983,2023-09-29 07:47:01.621621624,0,Weather
PK942,2023-09-30 01:17:50.270270272,9,Mechanical Issue
PK221,2023-09-30 18:48:38.918918920,46,None
PK578,2023-10-01 12:19:27.567567568,0,None
PK718,2023-10-02 05:50:16.216216216,18,Mechanical Issue
PK195,2023-10-02 23:21:04.864864864,0,Mechanical Issue
PK958,2023-10-03 16:51:53.513513512,28,Mechanical Issue
PK513,2023-10-04 10:22:42.162162160,0,None
PK334,2023-10-05 03:53:30.810810808,56,None
PK997,2023-10-05 21:24:19.459459456,0,Weather
PK161,2023-10-06 14:55:08.108108104,35,Mechanical Issue
PK355,2023-10-07 08:25:56.756756760,63,Mechanical Issue
PK660,2023-10-08 01:56:45.405405408,0,Traffic Control
PK447,2023-10-08 19:27:34.054054056,0,Crew
PK770,2023-10-09 12:58:22.702702704,0,Crew
PK223,2023-10-10 06:29:11.351351352,3,None
PK581,2023-10-11 00:00:00.000000000,38,Weather
PK416,2023-10-11 17:30:48.648648648,0,Weather
PK603,2023-10-12 11:01:37.297297296,0,Mechanical Issue
PK818,2023-10-13 04:32:25.945945944,0,Weather
PK147,2023-10-13 22:03:14.594594592,76,Weather
PK508,2023-10-14 15:34:03.243243240,79,Weather
PK235,2023-10-15 09:04:51.891891888,40,Crew
PK300,2023-10-16 02:35:40.540540544,0,None
PK349,2023-10-16 20:06:29.189189192,46,Mechanical Issue
PK413,2023-10-17 13:37:17.837837840,53,Mechanical Issue
PK968,2023-10-18 07:08:06.486486488,11,Weather
PK467,2023-10-19 00:38:55.135135136,21,Traffic Control
PK528,2023-10-19 18:09:43.783783784,63,Traffic Control
PK929,2023-10-20 11:40:32.432432432,0,Mechanical Issue
PK906,2023-10-21 05:11:21.081081080,55,Weather
PK579,2023-10-21 22:42:09.729729728,9,Weather
PK413,2023-10-22 16:12:58.378378376,0,Weather
PK599,2023-10-23 09:43:47.027027024,0,Mechanical Issue
PK820,2023-10-24 03:14:35.675675672,0,None
PK454,2023-10-24 20:45:24.324324328,0,None
PK584,2023-10-25 14:16:12.972972976,82,Mechanical Issue
PK310,2023-10-26 07:47:01.621621624,37,Traffic Control
PK803,2023-10-27 01:17:50.270270272,57,None
PK143,2023-10-27 18:48:38.918918920,40,Weather
PK640,2023-10-28 12:19:27.567567568,22,Mechanical Issue
PK670,2023-10-29 05:50:16.216216216,23,None
PK682,2023-10-29 23:21:04.864864864,6,Weather
PK191,2023-10-30 16:51:53.513513512,9,None
PK364,2023-10-31 10:22:42.162162160,0,None
PK994,2023-11-01 03:53:30.810810808,58,Crew
PK319,2023-11-01 21:24:19.459459456,0,None
PK541,2023-11-02 14:55:08.108108104,0,Traffic Control
PK500,2023-11-03 08:25:56.756756760,90,Crew
PK499,2023-11-04 01:56:45.405405408,25,Weather
PK826,2023-11-04 19:27:34.054054056,26,Weather
PK998,2023-11-05 12:58:22.702702704,42,Weather
PK888,2023-11-06 06:29:11.351351352,0,Crew
PK675,2023-11-07 00:00:00.000000000,0,Weather
PK957,2023-11-07 17:30:48.648648648,4,Weather
PK903,2023-11-08 11:01:37.297297296,0,Weather
PK589,2023-11-09 04:32:25.945945944,17,Traffic Control
PK584,2023-11-09 22:03:14.594594592,37,None
PK856,2023-11-10 15:34:03.243243240,69,None
PK569,2023-11-11 09:04:51.891891888,48,Mechanical Issue
PK673,2023-11-12 02:35:40.540540544,0,None
PK943,2023-11-12 20:06:29.189189192,7,Traffic Control
PK781,2023-11-13 13:37:17.837837840,0,Mechanical Issue
PK544,2023-11-14 07:08:06.486486488,0,Mechanical Issue
PK368,2023-11-15 00:38:55.135135136,0,Weather
PK366,2023-11-15 18:09:43.783783784,78,None
PK153,2023-11-16 11:40:32.432432432,20,Mechanical Issue
PK627,2023-11-17 05:11:21.081081080,12,Mechanical Issue
PK619,2023-11-17 22:42:09.729729728,37,Crew
PK715,2023-11-18 16:12:58.378378376,39,Weather
PK158,2023-11-19 09:43:47.027027024,59,Weather
PK924,2023-11-20 03:14:35.675675672,0,Crew
PK139,2023-11-20 20:45:24.324324328,34,Weather
PK336,2023-11-21 14:16:12.972972976,0,Traffic Control
PK485,2023-11-22 07:47:01.621621624,13,Mechanical Issue
PK705,2023-11-23 01:17:50.270270272,22,Crew
PK833,2023-11-23 18:48:38.918918920,25,Crew
PK815,2023-11-24 12:19:27.567567568,24,Mechanical Issue
PK749,2023-11-25 05:50:16.216216216,48,Mechanical Issue
PK399,2023-11-25 23:21:04.864864864,0,Crew
PK494,2023-11-26 16:51:53.513513512,26,Traffic Control
PK306,2023-11-27 10:22:42.162162160,0,Traffic Control
PK435,2023-11-28 03:53:30.810810808,122,None
PK692,2023-11-28 21:24:19.459459456,0,Weather
PK829,2023-11-29 14:55:08.108108104,0,Mechanical Issue
PK613,2023-11-30 08:25:56.756756760,51,None
PK277,2023-12-01 01:56:45.405405408,5,Mechanical Issue
PK495,2023-12-01 19:27:34.054054056,51,Weather
PK470,2023-12-02 12:58:22.702702704,25,Mechanical Issue
PK957,2023-12-03 06:29:11.351351352,6,Weather
PK890,2023-12-04 00:00:00.000000000,0,Weather
PK757,2023-12-04 17:30:48.648648648,0,None
PK417,2023-12-05 11:01:37.297297296,6,Mechanical Issue
PK835,2023-12-06 04:32:25.945945944,14,Weather
PK468,2023-12-06 22:03:14.594594592,0,None
PK483,2023-12-07 15:34:03.243243240,16,None
PK161,2023-12-08 09:04:51.891891888,0,Mechanical Issue
PK905,2023-12-09 02:35:40.540540544,46,Weather
PK604,2023-12-09 20:06:29.189189192,53,None
PK338,2023-12-10 13:37:17.837837840,0,Traffic Control
PK294,2023-12-11 07:08:06.486486488,0,Crew
PK777,2023-12-12 00:38:55.135135136,26,None
PK321,2023-12-12 18:09:43.783783784,64,Crew
PK160,2023-12-13 11:40:32.432432432,72,Weather
PK228,2023-12-14 05:11:21.081081080,0,Crew
PK784,2023-12-14 22:42:09.729729728,55,Weather
PK255,2023-12-15 16:12:58.378378376,18,Traffic Control
PK477,2023-12-16 09:43:47.027027024,19,Crew
PK721,2023-12-17 03:14:35.675675672,38,Weather
PK880,2023-12-17 20:45:24.324324328,3,Mechanical Issue
PK967,2023-12-18 14:16:12.972972976,58,Weather
PK889,2023-12-19 07:47:01.621621624,70,Weather
PK685,2023-12-20 01:17:50.270270272,71,Crew
PK536,2023-12-20 18:48:38.918918920,0,Weather
PK306,2023-12-21 12:19:27.567567568,12,Traffic Control
PK487,2023-12-22 05:50:16.216216216,0,Weather
PK579,2023-12-22 23:21:04.864864864,0,Crew
PK890,2023-12-23 16:51:53.513513512,0,None
PK986,2023-12-24 10:22:42.162162160,36,Crew
